name,group,value
#sky,#sky,36
morning,morning,35
terrorism,terrorism,35
who,who,35
gun laws,gun laws,35
people,people,35
ukraine aggression,ukraine aggression,35
valentine's day,valentine's day,35
gun violence,gun violence,35
international affairs,international affairs,35
waterfall,waterfall,35
consumer rights,consumer rights,35
manchester united women,manchester united women,35
sunrise,sunrise,35
#meme,#meme,35
carlo ancelotti,carlo ancelotti,35
acmilan,acmilan,35
antonio conte,antonio conte,35
teerthg,teerthg,35
ishakhanna,ishakhanna,35
do yogasan,do yogasan,35
 premierleague, premierleague,35
tea,tea,34
marriage,marriage,34
election,election,34
scuderia ferrari,scuderia ferrari,34
ucl,ucl,34
apple,apple,34
kim kardashian,kim kardashian,34
holi,holi,34
iran,iran,34
facebook,facebook,34
novak djokovic,novak djokovic,34
commonwealth games 2022,commonwealth games 2022,34
google,google,34
let's discuss mental health,let's discuss mental health,34
knowledge,knowledge,34
cake,cake,34
breastfeeding awareness,breastfeeding awareness,34
#happiness,#happiness,34
mental health for youngsters,mental health for youngsters,34
sweets,sweets,34
leclerc,leclerc,34
udinese,udinese,34
southampton,southampton,34
#foodislife,#foodislife,34
arsenal fc,arsenal fc,34
europaleague,europaleague,34
wedding,wedding,33
pizza,pizza,33
red bull,red bull,33
athletics,athletics,33
nitish kumar,nitish kumar,33
imran khan,imran khan,33
winter olympics,winter olympics,33
covid news,covid news,33
life lessons,life lessons,33
mental well being,mental well being,33
anxiety,anxiety,33
us politics,us politics,33
sports photography,sports photography,33
football 🥅,football 🥅,33
film,film,33
blackpink,blackpink,33
running,running,33
judo,judo,33
isl,isl,33
dc,dc,33
fifa world cup qualifiers,fifa world cup qualifiers,33
mohamed salah,mohamed salah,33
inter milan,inter milan,33
paris fashion week,paris fashion week,33
serie b,serie b,33
alcaraz,alcaraz,33
spezia,spezia,33
upcoming,upcoming,33
sun,sun,33
cwg22,cwg22,33
krishna,krishna,33
sketching,sketching,33
#fundvertise,#fundvertise,33
#quote,#quote,33
uk politics,uk politics,33
us government,us government,32
lgbtiqa+,lgbtiqa+,32
vaccine,vaccine,32
internet,internet,32
fruits,fruits,32
salman rushdie,salman rushdie,32
lewis hamilton,lewis hamilton,32
police,police,32
nfl,nfl,32
cybersecurity,cybersecurity,32
gardening,gardening,32
information,information,32
sunset picture,sunset picture,32
sunset photography,sunset photography,32
student,student,32
television,television,32
afghanistan war,afghanistan war,32
journey,journey,32
#pregnancy,#pregnancy,32
spurs,spurs,32
sampdoria,sampdoria,32
bayern munich fc,bayern munich fc,32
aiff,aiff,32
resurgent india,resurgent india,32
flower photography,flower photography,32
 football, football,32
gender identity,gender identity,31
snow,snow,31
yoga day,yoga day,31
mother,mother,31
photos,photos,31
#instagram,#instagram,31
diet talks,diet talks,31
fiction,fiction,31
public health,public health,31
depression,depression,31
monday motivation,monday motivation,31
science journal,science journal,31
music streaming,music streaming,31
brahmastra,brahmastra,31
festival vibe,festival vibe,31
fashion blogger,fashion blogger,31
slumsoccer,slumsoccer,31
salute,salute,31
ambiente,ambiente,31
european football,european football,31
vogue,vogue,31
casemiro,casemiro,31
mondiali calcio,mondiali calcio,31
karim benzema,karim benzema,31
mizoram,mizoram,31
animes,animes,31
shoes,shoes,31
#movie promotion,#movie promotion,31
biden,biden,30
gender binary,gender binary,30
world environment day,world environment day,30
finance,finance,30
world,world,30
automobiles,automobiles,30
uttarakhand,uttarakhand,30
birmingham 2022,birmingham 2022,30
self care,self care,30
animals and nature,animals and nature,30
school students,school students,30
design,design,30
sportspersons,sportspersons,30
writing community,writing community,30
pets,pets,30
harry potter,harry potter,30
football members,football members,30
motivational,motivational,30
esports,esports,30
article14live,article14live,30
unicef helps children,unicef helps children,30
paul pogba,paul pogba,30
ootd,ootd,30
music art ppl,music art ppl,30
gabriel jesus,gabriel jesus,30
leeds united,leeds united,30
pogba,pogba,30
cagliari,cagliari,30
thomas tuchel,thomas tuchel,30
arteta,arteta,30
cute,cute,30
campus diaries,campus diaries,30
#wdchrc,#wdchrc,30
melania trump,melania trump,30
#celebrity fashion,#celebrity fashion,30
american literature,american literature,30
melbourne,melbourne,30
#celebrityll,#celebrityll,30
dog,dog,29
review,review,29
mother's day,mother's day,29
bike,bike,29
rihanna,rihanna,29
films,films,29
pixstory office ❤️,pixstory office ❤️,29
chess,chess,29
boris johnson,boris johnson,29
singer,singer,29
life living happiness,life living happiness,29
game,game,29
